% Model:              3D_efield_fullgeom.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 5 2016, 11:06
% Dimension:          1
% Nodes:              96
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         1.6334118720527838E-15
1.9465865276277472E-7     1.6315819357548293E-15
3.1438007982997895E-7     1.31359690751274E-15
3.5714145136048203E-7     1.313226558685301E-15
3.755246896879061E-7      9.037037351569681E-16
4.056333931176659E-7      5.259117313385224E-15
4.4658827201560225E-7     4.9441309145589754E-15
7.865102389890966E-7      4.9184784029014364E-15
8.404386534280328E-7      3.923870458661964E-15
8.928883784425912E-7      8.464743227719345E-15
1.1115077701955023E-6     8.293343621225414E-15
1.3844792586086008E-6     9.152931099013062E-15
1.5686296913897113E-6     9.10298888185711E-15
1.8150647012708798E-6     1.0816239630593427E-14
2.4375230013688742E-6     1.388096619708705E-14
3.1055961554164735E-6     1.323349805986099E-14
3.1703330152406395E-6     1.3484593837275157E-14
3.5563964675203175E-6     1.5594890709077223E-14
3.675035772969515E-6      1.472448884604745E-14
3.9400593600212586E-6     1.4400262303319483E-14
5.011991930734677E-6      1.212269020035313E-14
5.8395358061465175E-6     1.183369680422407E-14
5.960329782783713E-6      1.174584885489281E-14
7.114065807847791E-6      8.668677276875473E-15
8.117992719918615E-6      8.208389918344504E-15
8.123183593694572E-6      8.206009970611253E-15
8.700263006641146E-6      5.844721580061454E-15
1.0875396635155743E-5     5.30655906203865E-15
1.1159392444833743E-5     5.419270164519422E-15
1.3348907176132657E-5     4.843892004845044E-15
1.3375415029524135E-5     4.8369260595223954E-15
1.3991278310102051E-5     2.7589745951739915E-15
1.5237633558030234E-5     2.599429595358108E-15
1.6223192055693503E-5     2.5147957198532077E-15
1.6258942725236314E-5     2.623952105628399E-15
1.648096679335992E-5      2.1880612980755995E-15
1.8782945598400103E-5     2.0323418878599062E-15
1.889161732822678E-5      1.5155846794640213E-15
2.0000252111098543E-5     1.4744644284190779E-15
2.4340852433996085E-5     1.144493175254417E-15
2.728152238580875E-5      9.870882643705907E-16
2.8749641658679104E-5     9.528480332747188E-16
3.0263183547478423E-5     8.539084981806536E-16
3.6579309424536466E-5     4.370275242351857E-16
4.16558147863684E-5       4.007759361710974E-16
4.210753084369842E-5      3.9797170186444615E-16
4.3583301709958916E-5     2.8199223502644786E-16
4.46916981452633E-5       2.688429332361938E-16
4.659903189535228E-5      2.2370519260078213E-16
5.515434519894058E-5      2.0402425657357419E-16
6.436179982226634E-5      1.392777941560807E-16
6.761315348825445E-5      9.124239314275375E-17
7.248409901949512E-5      8.818292751242762E-17
7.351613550744818E-5      1.1600747817201246E-16
8.41640045057511E-5       1.0476903663466656E-16
8.696984262624233E-5      8.058422138908924E-17
9.244264626935908E-5      5.72841400326763E-17
9.387560599113248E-5      5.676003238912815E-17
9.588131268710443E-5      5.602644149044418E-17
9.88880936827162E-5       4.767073374072573E-17
1.0277914167450969E-4     4.661769658459538E-17
1.1562416163798939E-4     4.133230167293284E-17
1.29224995518068E-4       4.2864635327204933E-17
1.3659514931637154E-4     3.205923739551832E-17
1.4492729973647478E-4     1.864402282943421E-17
1.6883629890840704E-4     1.6871455870508644E-17
1.9334519574993464E-4     1.624467756138731E-17
2.0586286827600428E-4     1.514732420510553E-17
2.1219046711237755E-4     1.4082935961141105E-17
2.1550766663034487E-4     1.1882395181314382E-17
2.2443076988900787E-4     6.259655426684826E-18
2.483407070777606E-4      6.510156065953419E-18
2.518499344433475E-4      6.211796858589671E-18
2.806742679790121E-4      5.624688693974533E-18
3.395272183863811E-4      4.509803869277264E-18
3.4506964272867577E-4     2.466431189224366E-18
3.5393444346080646E-4     2.409829156568791E-18
4.233490310174906E-4      1.9666148226677744E-18
4.4008440798812276E-4     8.965846281910528E-19
4.861752402937694E-4      9.587910269864418E-19
5.748783673301602E-4      5.257771774374081E-19
6.446995785717967E-4      4.597790625329617E-19
7.43856958706008E-4       3.9818507291184614E-19
8.300648812106376E-4      1.8232848259273884E-19
8.755364913218891E-4      1.6897229429793697E-19
9.639193425557899E-4      1.4301196432010398E-19
9.874366321849792E-4      1.0675950469034393E-19
0.0010069839667106346     1.0350532544306297E-19
0.0010323322633361623     9.928542012940202E-20
0.0010476459633057301     6.049896280757972E-20
0.0010846541925114452     5.801671546578563E-20
0.0012199582156377752     4.9663134082476445E-20
0.0013073794681425811     2.725127258361492E-20
0.0014157955711213699     2.545761896824133E-20
0.001492169569051495      2.322845105837821E-20
0.0014999999999999979     1.648855895030971E-20
