% Model:              3D_efield_fullgeom.mph
% Version:            COMSOL 5.0.0.243
% Date:               Apr 5 2016, 11:06
% Dimension:          1
% Nodes:              96
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0                         -2.3751205857812497E-17
1.9465865276277472E-7     -2.3751205857812497E-17
3.1438007982997895E-7     -1.9128786167065428E-17
3.5714145136048203E-7     -1.9128786169628905E-17
3.755246896879061E-7      -1.3165993846777342E-17
4.056333931176659E-7      -7.663111515898437E-17
4.4658827201560225E-7     -7.2088460540625E-17
7.865102389890966E-7      -7.2088460540625E-17
8.404386534280328E-7      -5.757578726953124E-17
8.928883784425912E-7      -1.2442930785078123E-16
1.1115077701955023E-6     -1.224574333109375E-16
1.3844792586086008E-6     -1.362250196283203E-16
1.5686296913897113E-6     -1.362250196283203E-16
1.8150647012708798E-6     -1.6348016533372496E-16
2.4375230013688742E-6     -2.1572883464422607E-16
3.1055961554164735E-6     -2.1260279197009275E-16
3.1703330152406395E-6     -2.173023491510742E-16
3.5563964675203175E-6     -2.5762293420166014E-16
3.675035772969515E-6      -2.445708641165039E-16
3.9400593600212586E-6     -2.43029963192041E-16
5.011991930734677E-6      -2.1827127101958005E-16
5.8395358061465175E-6     -2.2369010865883788E-16
5.960329782783713E-6      -2.2369010865883788E-16
7.114065807847791E-6      -1.7725929824484863E-16
8.117992719918615E-6      -1.7725929824484863E-16
8.123183593694572E-6      -1.7725929824484863E-16
8.700263006641146E-6      -1.3065976166834717E-16
1.0875396635155743E-5     -1.3065976166834717E-16
1.1159392444833743E-5     -1.346874138713867E-16
1.3348907176132657E-5     -1.346874138713867E-16
1.3375415029524135E-5     -1.346874138713867E-16
1.3991278310102051E-5     -7.791945773186411E-17
1.5237633558030234E-5     -7.642642662995083E-17
1.6223192055693503E-5     -7.642642662995083E-17
1.6258942725236314E-5     -7.967153675913696E-17
1.648096679335992E-5      -6.695755966935577E-17
1.8782945598400103E-5     -6.695755966935577E-17
1.889161732822678E-5      -5.021540632921142E-17
2.0000252111098543E-5     -5.021540632921142E-17
2.4340852433996085E-5     -4.341662751939392E-17
2.728152238580875E-5      -4.006857608758087E-17
2.8749641658679104E-5     -4.006857608758087E-17
3.0263183547478423E-5     -3.700427821018371E-17
3.6579309424536466E-5     -2.091884773814163E-17
4.16558147863684E-5       -2.069431536094856E-17
4.210753084369842E-5      -2.069431536094856E-17
4.3583301709958916E-5     -1.483414238823929E-17
4.46916981452633E-5       -1.459693912054702E-17
4.659903189535228E-5      -1.252922009396286E-17
5.515434519894058E-5      -1.252922009396286E-17
6.436179982226634E-5      -9.312787484279632E-18
6.761315348825445E-5      -6.4497025551069016E-18
7.248409901949512E-5      -6.4497025551069016E-18
7.351613550744818E-5      -8.410306485077E-18
8.41640045057511E-5       -8.410306485077E-18
8.696984262624233E-5      -6.653344843576192E-18
9.244264626935908E-5      -4.8040229329456324E-18
9.387560599113248E-5      -4.8040229329456324E-18
9.588131268710443E-5      -4.8040229329456324E-18
9.88880936827162E-5       -4.285364934713828E-18
1.0277914167450969E-4     -4.285364934713828E-18
1.1562416163798939E-4     -4.095693836008453E-18
1.29224995518068E-4       -4.7090010921934125E-18
1.3659514931637154E-4     -3.607378041042852E-18
1.4492729973647478E-4     -2.237470487780046E-18
1.6883629890840704E-4     -2.237470487780046E-18
1.9334519574993464E-4     -2.4529460492578028E-18
2.0586286827600428E-4     -2.4529460492578028E-18
2.1219046711237755E-4     -2.2874823793115854E-18
2.1550766663034487E-4     -1.9704224640780925E-18
2.2443076988900787E-4     -1.102294157432343E-18
2.483407070777606E-4      -1.2248000475470124E-18
2.518499344433475E-4      -1.1826710173530756E-18
2.806742679790121E-4      -1.1826710173530756E-18
3.395272183863811E-4      -1.2119446690188954E-18
3.4506964272867577E-4     -6.59470926777482E-19
3.5393444346080646E-4     -6.59470926777482E-19
4.233490310174906E-4      -6.59470926777482E-19
4.4008440798812276E-4     -3.233713684804868E-19
4.861752402937694E-4      -3.6860913319166475E-19
5.748783673301602E-4      -2.526588383479893E-19
6.446995785717967E-4      -2.526588383479893E-19
7.43856958706008E-4       -2.831153470518124E-19
8.300648812106376E-4      -1.40381063196134E-19
8.755364913218891E-4      -1.40381063196134E-19
9.639193425557899E-4      -1.40381063196134E-19
9.874366321849792E-4      -1.0463687825036048E-19
0.0010069839667106346     -1.0463687825036048E-19
0.0010323322633361623     -1.0463687825036048E-19
0.0010476459633057301     -6.71684930664625E-20
0.0010846541925114452     -6.71684930664625E-20
0.0012199582156377752     -6.829763328120862E-20
0.0013073794681425811     -4.280144807602898E-20
0.0014157955711213699     -4.458601876294426E-20
0.001492169569051495      -4.458601876294426E-20
0.0014999999999999979     -3.1926034262371434E-20
